Product Name,Sentiment,Customer Review,Category,Abstractive Summary
Electric Kettle 1.8L - Stainless Steel,Negative,"ketel ini bocor setelah pemakaian seminggu, kualitas buruk, kecewa || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Kitchen,"Ketel ini bocor setelah seminggu digunakan, kualitasnya buruk dan sangat mengecewakan."
Electric Kettle 1.8L - Stainless Steel,Positive,"desain elegan, cepat mendidih, bahan kuat, pengiriman cepat, recommended || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Kitchen,"Ketel ini memiliki desain elegan, cepat mendidih, dan bahan yang kuat. Pengiriman cepat dan sangat direkomendasikan."
Robot Vacuum Cleaner - Hitam,Negative,"robot ini sering macet, baterai cepat habis, tidak membersihkan dengan baik || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Electronics,"Robot vacuum ini sering macet, baterai cepat habis, dan tidak efektif membersihkan, sangat mengecewakan."
Robot Vacuum Cleaner - Hitam,Positive,"membersihkan dengan baik, baterai awet, fitur canggih, seller responsif || Desain elegan dan sangat fungsional. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Electronics,"Robot vacuum ini efektif membersihkan, baterai awet, dan fitur canggih. Seller responsif dan pengiriman cepat."
Smart Thermostat WiFi - Putih,Negative,"termostat ini sering error, tidak connect ke wifi, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Smart thermostat ini sering error dan tidak dapat terhubung ke wifi, kualitasnya sangat buruk."
Smart Thermostat WiFi - Putih,Positive,"mudah diatur, hemat energi, desain modern, pengiriman cepat, puas || Seller sangat responsif, pengiriman cepat dan aman. || Sudah beli kedua kali, tetap puas dengan pelayanannya.",Electronics,"Smart thermostat ini mudah diatur, hemat energi, dan desain modern. Pengiriman cepat dan memuaskan."
Portable Blender 500ml - Pink,Negative,"blender ini lelet, pisau tumpul, cepat panas, kecewa || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Kitchen,"Blender ini lambat, pisau tumpul, dan cepat panas, sangat mengecewakan."
Portable Blender 500ml - Pink,Positive,"blender ini cepat, pisau tajam, desain lucu, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Kitchen,"Blender ini cepat, pisau tajam, dan desain lucu. Pengiriman cepat dan sangat direkomendasikan."
Smart Scale WiFi - Hitam,Negative,"timbangan ini tidak akurat, sering error, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Health and Beauty,"Smart scale ini tidak akurat dan sering error, kualitasnya sangat buruk."
Smart Scale WiFi - Hitam,Positive,"akurat, mudah connect ke app, desain elegan, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Health and Beauty,"Smart scale ini akurat, mudah terhubung ke aplikasi, dan desain elegan. Seller ramah dan pengiriman cepat."
Wireless Earphones with Mic - Hitam,Negative,"earphones ini suaranya kecil, mic tidak jernih, cepat rusak || Kualitas buruk dan cepat rusak. || Beli karena rating tinggi, ternyata mengecewakan.",Electronics,"Earphones ini memiliki suara kecil, mic tidak jernih, dan cepat rusak, sangat mengecewakan."
Wireless Earphones with Mic - Hitam,Positive,"suara jernih, mic bagus, baterai tahan lama, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Earphones ini menawarkan suara jernih, mic bagus, dan baterai tahan lama. Pengiriman cepat dan memuaskan."
LED Desk Lamp with USB - Putih,Negative,"lampu ini redup, tombol cepat rusak, packing buruk || Fungsi produk tidak berjalan dengan baik. || Packing asal-asalan, barang sampai dalam kondisi rusak.",Electronics,"Lampu meja ini redup, tombol cepat rusak, dan packing buruk, sangat mengecewakan."
LED Desk Lamp with USB - Putih,Positive,"cahaya terang, tombol responsif, desain modern, seller responsif || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Electronics,"Lampu meja ini memiliki cahaya terang, tombol responsif, dan desain modern. Seller responsif dan pengiriman cepat."
Smart Plug WiFi - Putih,Negative,"plug ini sering disconnect, kualitas buruk, kecewa || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Smart plug ini sering terputus dan kualitasnya buruk, sangat mengecewakan."
Smart Plug WiFi - Putih,Positive,"mudah digunakan, koneksi stabil, hemat energi, pengiriman cepat, recommended || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Smart plug ini mudah digunakan, koneksi stabil, dan hemat energi. Pengiriman cepat dan sangat direkomendasikan."
Electric Hair Clipper - Hitam,Negative,"clipper ini tumpul, cepat panas, tidak worth it || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Health and Beauty,"Hair clipper ini tumpul, cepat panas, dan tidak sebanding dengan harganya, sangat mengecewakan."
Electric Hair Clipper - Hitam,Positive,"pisau tajam, tidak panas, desain ergonomis, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Health and Beauty,"Hair clipper ini memiliki pisau tajam, tidak panas, dan desain ergonomis. Seller ramah dan pengiriman cepat."
Smart Security Camera 1080p - Putih,Negative,"kamera ini buram, night vision jelek, sering lag || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Kamera ini buram, night vision buruk, dan sering lag, sangat mengecewakan."
Smart Security Camera 1080p - Putih,Positive,"gambar jernih, night vision bagus, fitur lengkap, pengiriman cepat, puas || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Kamera ini menghasilkan gambar jernih, night vision bagus, dan fitur lengkap. Pengiriman cepat dan memuaskan."
Portable Fan Rechargeable - Putih,Negative,"kipas ini lelet, baterai cepat habis, kualitas buruk || Kualitas buruk dan cepat rusak. || Beli karena rating tinggi, ternyata mengecewakan.",Electronics,"Kipas ini lelet, baterai cepat habis, dan kualitas buruk, sangat mengecewakan."
Portable Fan Rechargeable - Putih,Positive,"angin kencang, baterai tahan lama, desain lucu, pengiriman cepat, recommended || Harga terjangkau, performa di atas ekspektasi. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Electronics,"Kipas ini menghasilkan angin kencang, baterai tahan lama, dan desain lucu. Pengiriman cepat dan sangat direkomendasikan."
Smart Speaker with Voice Assistant - Hitam,Negative,"speaker ini suaranya pecah, voice assistant sering error, kecewa || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Electronics,"Smart speaker ini memiliki suara pecah dan voice assistant sering error, sangat mengecewakan."
Smart Speaker with Voice Assistant - Hitam,Positive,"suara jernih, voice assistant responsif, desain elegan, seller ramah || Desain elegan dan sangat fungsional. || Seller sangat responsif, pengiriman cepat dan aman.",Electronics,"Smart speaker ini menawarkan suara jernih, voice assistant responsif, dan desain elegan. Seller ramah dan pengiriman cepat."
Wireless Presenter with Laser Pointer - Hitam,Negative,"presenter ini tombolnya tidak responsif, laser lemah, kualitas buruk || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Office Supplies,"Presenter ini memiliki tombol tidak responsif dan laser lemah, kualitasnya sangat buruk."
Wireless Presenter with Laser Pointer - Hitam,Positive,"tombol responsif, laser terang, cocok untuk presentasi, pengiriman cepat || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Office Supplies,"Presenter ini memiliki tombol responsif dan laser terang, cocok untuk presentasi. Pengiriman cepat dan memuaskan."
Smart Water Bottle with Reminder - Biru,Negative,"botol ini bocor, reminder tidak berfungsi, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Health and Beauty,"Botol ini bocor dan fitur reminder tidak berfungsi, kualitasnya sangat buruk."
Smart Water Bottle with Reminder - Biru,Positive,"desain keren, reminder berfungsi baik, anti bocor, seller responsif || Desain elegan dan sangat fungsional. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Health and Beauty,"Botol ini memiliki desain keren, reminder berfungsi baik, dan anti bocor. Seller responsif dan pengiriman cepat."
Electric Pressure Cooker 6L - Silver,Negative,"pressure cooker ini cepat rusak, tutupnya bocor, kecewa || Fungsi produk tidak berjalan dengan baik. || Respon seller lambat dan tidak membantu.",Kitchen,"Pressure cooker ini cepat rusak dan tutupnya bocor, sangat mengecewakan."
Electric Pressure Cooker 6L - Silver,Positive,"memasak cepat, aman digunakan, desain modern, pengiriman cepat, puas || Harga terjangkau, performa di atas ekspektasi. || Seller sangat responsif, pengiriman cepat dan aman.",Kitchen,"Pressure cooker ini memasak cepat, aman, dan desain modern. Pengiriman cepat dan memuaskan."
Smart Lock with Fingerprint - Hitam,Negative,"kunci ini sering error, fingerprint tidak akurat, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Kualitas buruk dan cepat rusak.",Electronics,"Smart lock ini sering error dan fingerprint tidak akurat, kualitasnya sangat buruk."
Smart Lock with Fingerprint - Hitam,Positive,"fingerprint akurat, instalasi mudah, desain elegan, pengiriman cepat || Desain elegan dan sangat fungsional. || Produk sangat memuaskan, kualitas bagus dan pengiriman cepat.",Electronics,"Smart lock ini memiliki fingerprint akurat, instalasi mudah, dan desain elegan. Pengiriman cepat dan memuaskan."
Wireless Game Controller - Hitam,Negative,"controller ini tombolnya macet, koneksi sering putus, kecewa || Fungsi produk tidak berjalan dengan baik. || Barang datang tidak sesuai harapan, sangat mengecewakan.",Gaming,"Controller ini memiliki tombol macet dan koneksi sering putus, sangat mengecewakan."
Wireless Game Controller - Hitam,Positive,"respon cepat, tombol nyaman, koneksi stabil, seller ramah, cepat sampai || Harga terjangkau, performa di atas ekspektasi. || Kemasan rapi dan produk sampai dalam kondisi baik.",Gaming,"Controller ini responsif, tombol nyaman, dan koneksi stabil. Seller ramah dan pengiriman cepat."
Electric Massager Gun - Hitam,Negative,"massager ini getarannya lemah, cepat panas, kualitas buruk || Tidak sesuai deskripsi, merasa tertipu. || Respon seller lambat dan tidak membantu.",Health and Beauty,"Massager ini memiliki getaran lemah dan cepat panas, kualitasnya sangat buruk."
