text,sentiment
"Bentuk bagussssssssssss, ............................ tetapi sayangnya suara speaker api ga ga .....................................",negative
Kualitas produk yang baik kualitas produk yang sangat baik kualitas produk yang sangat baik .... pikirkan kakinya .... barang ... dah sampai ....,positive
"Tidak ada noda bajunya, jd kecil kotor",negative
"Tidak ada noda bajunya, jd kecil kotor",negative
"Pengiriman untuk pedagang jarang memberikannya 3 bintang, tetapi setidaknya itu adalah pesanan yang lengkap.",neutral
Goods in accordance deskripsi??puasssss shopping in sini??pokoknya not disappoint. But one setnya manik2nya lepas??,positive
"Tidak ada noda bajunya, jd kecil kotor",negative
Kualitas Produk yang Baik Respons Penjual yang Baik,positive
"Sayang sekali ada sedikit cacat, tubuh Winder tidak ada bagian kasar seperti Ngelupas.Tapi yaudah ya.Jika pada arloji itu sendiri tidak ada masalah, UDA saya menggunakan tiga hari yang ditulis Baik2.Tidak dicoba untuk di bawah air.Nasihat jika Anda ingin barang mengirim saya noda apa kondisinya engga",negative
"Kualitas bagus, produk asli, harga produk yang bagus, kecepatan pengiriman yang baik",positive
D yang menjual SM yang berbeda ... yang mengirim hub penjual D.Bls G ... G Mandat,neutral
Standar Kualitas Produk.,neutral
Ukuran kecil bahkan lebih besar yang saya pesan.penuh sesak,positive
Formulir pengiriman yang salah,negative
kayaknya dapat yg baterai yg jelek atau drop  males kirim balik tp masih bisa digunakan cuma setiap kali jalan harus setting tanggal dan jam mulu  tombol charge juga warna merah gak pernah nyala,negative
Lebih sedikit pesanan PO.Po Yung Serum,negative
Ya bahan yang agak elastis ... menurut barang lama yang sama..pengiriman,positive
Tidak terlalu berkualitas yung Ng tidak seperti dijual ke penjual lain .. Lalu masih ada hangtag yang disediakan saken ..,neutral
Semua produk hingga kondisi yang aman dan rapi ... tetapi produk lama untuk ekspedisi hasilnya lambat ... semoga semua produjknya yang bermanfaat .. terima kasih penjual,positive
Mengemas terlalu buruk.9 item yang hilang 3 buah.Ko mengatakan dengan menutup kekurangan atau kemasan yang buruk selama transportasi harus jatuh lagi,negative
"Bahan -bahan yang baik, lembut .. hanya kasihan ukurannya yang membebaskan sehingga max ld 88 informasi yang sesuai dari penjual.BGT Good Seller, Respons JG yang bagus.GA Gunakan foto untuk barang segera biarkan mencuci dapat digunakan.Untuk model lain dari ukuran BRA yang ada, deskripsi ini juga cocok dengan dengan aman bgt ga jd perlu ukuran nurunin atau naikin 1.Rec",positive
Goresan goresan besi sdh jadiornya,neutral
Benar,neutral
Kalengnya penyok .. sedangkan SDH Bubble + Cardboard.kardus tp jg ga dent kaleng susu penyok.Bintang kation Kudu Ottokeh?,neutral
"Tidak ada noda bajunya, jd kecil kotor",negative
Kualitas produk buruk,negative
"Freight Lamaa yang luar biasa mulai ,,,, harus diberi tahu jika Anda harus terlebih dahulu ,, PO Berbelit2 jawaban ketika ditanya dan menanggapi JG lama ,, jika kualitasnya bagus dan saya puas tetapi saya sangat kecewa dengan pengiriman ....",negative
"Tidak ada noda bajunya, jd kecil kotor",negative
Ada 2 leher tinggi ganda,neutral
"Ka itu bagus, tapi sayangnya kaus kaki tidak menggunakan paket ...",negative
Dengan po diberikan nyung otg..naglolokohan kita lakukan ???Kami tahu apa yang digunakan dan tidak menggunakan,negative
Cukup cocok dengan harganya,positive
"Barang bagus, semoga tahan lama",positive
"Gtau ori di ga. Tapi membuat yang sulit, Late2 .. Ga Ky D Tutorial YouTube Tutorial",negative
Ok kualitas,positive
Tidak memiliki cincin atau cangkir kaca yang tidak seperti di sini di toko foto.,neutral
Kualitas produk yang bagus.,positive
"Toko mengirimkan yang salah ukuran 40 ukuran 41, tapi sayangnya tidak banyak perbedaan yang masih harus terjadi? K.",negative
Barang bagus.Tagala Just Naship,positive
Item yang salah yang diterima tidak akan memesan lagi.16GB Pesanan saya yang saya lakukan datang kepada saya hanya 8GB?!Saya membayar dengan benar hanya satu yang saya dapatkan?Kami juga berarti Anda e.Lain kali silakan beralih ke pesanan.Saya tidak bisa mengulang.Buang uang saya untuk Anda.Nakamura yang juga Anda sebut.??,negative
Kualitas produk yang bagus.Produk aslinya.Harga produknya bagus.,positive
Laminasi tipis tidak hati -hati akan menggaruk tangan saat rak stok dengan tabung kemasan yang tidak memadai dihancurkan untuk melihat produk yang sebenarnya terlalu mahal,negative
"Tapi sudah diganti admin obrolan maroon, saya masih menulis tentara yang dikirim.Sebagai tidak dihargai ??",negative
Nice house advent lamaa..pdahal still sebandung added to the Eid rush wkwkkw goods taken udh sma org ny GK trigger fto,positive
Kualitas produk yang bagus ??????,positive
Pengiriman cepat,neutral
"Tiba cukup lama juga gunakan kurir ini, .............",neutral
Warnanya tidak cocok dengan pesanan ... tidak ada mulut dan bahan tipis yang berbeda ... tapi produk yang lumayan,negative
